"Bivalirudin";"OIRCOABEOLEUMC-GEJPAHFPSA-N";"Prothrombin";"F2";"yes";"inhibitor"
"Goserelin";"BLCLNMBMMGCOAS-URPVMXJPSA-N";"Lutropin-choriogonadotropic hormone receptor";"LHCGR";"yes";"agonist"
"Goserelin";"BLCLNMBMMGCOAS-URPVMXJPSA-N";"Gonadotropin-releasing hormone receptor";"GNRHR";"yes";"agonist"
"Desmopressin";"NFLWUMRGJYTJIN-NXBWRCJVSA-N";"Vasopressin V2 receptor";"AVPR2";"yes";"agonist"
"Desmopressin";"NFLWUMRGJYTJIN-NXBWRCJVSA-N";"Vasopressin V1a receptor";"AVPR1A";"yes";""
"Desmopressin";"NFLWUMRGJYTJIN-NXBWRCJVSA-N";"Vasopressin V1b receptor";"AVPR1B";"yes";""
"Cetrorelix";"SBNPWPIBESPSIF-MHWMIDJBSA-N";"Gonadotropin-releasing hormone receptor";"GNRHR";"yes";"antagonist"
"Cetrorelix";"SBNPWPIBESPSIF-MHWMIDJBSA-N";"Lutropin-choriogonadotropic hormone receptor";"LHCGR";"unknown";""
"Cyclosporine";"PMATZTZNYRCHOR-CGLBZJNRSA-N";"Calcium signal-modulating cyclophilin ligand";"CAMLG";"yes";"binder"
"Cyclosporine";"PMATZTZNYRCHOR-CGLBZJNRSA-N";"Calcium signal-modulating cyclophilin ligand";"CAMLG";"yes";"binder"
"Cyclosporine";"PMATZTZNYRCHOR-CGLBZJNRSA-N";"Calcineurin subunit B type 2";"PPP3R2";"yes";"inhibitor"
"Cyclosporine";"PMATZTZNYRCHOR-CGLBZJNRSA-N";"Calcineurin subunit B type 2";"PPP3R2";"yes";"inhibitor"
"Cyclosporine";"PMATZTZNYRCHOR-CGLBZJNRSA-N";"Peptidyl-prolyl cis-trans isomerase A";"PPIA";"unknown";""
"Cyclosporine";"PMATZTZNYRCHOR-CGLBZJNRSA-N";"Peptidyl-prolyl cis-trans isomerase A";"PPIA";"unknown";""
"Cyclosporine";"PMATZTZNYRCHOR-CGLBZJNRSA-N";"Peptidyl-prolyl cis-trans isomerase F, mitochondrial";"PPIF";"unknown";"binder"
"Cyclosporine";"PMATZTZNYRCHOR-CGLBZJNRSA-N";"Peptidyl-prolyl cis-trans isomerase F, mitochondrial";"PPIF";"unknown";"binder"
"Octreotide";"DEQANNDTNATYII-OULOTJBUSA-N";"Somatostatin receptor type 1";"SSTR1";"yes";""
"Octreotide";"DEQANNDTNATYII-OULOTJBUSA-N";"Somatostatin receptor type 5";"SSTR5";"yes";""
