Common name,DrugBank ID,chembl_id
Lepirudin,DB00001,NA
Cetuximab,DB00002,NA
Dornase alfa,DB00003,NA
Denileukin diftitox,DB00004,NA
Etanercept,DB00005,NA
Bivalirudin,DB00006,CHEMBL2103749
Leuprolide,DB00007,NA
Peginterferon alfa-2a,DB00008,NA
Alteplase,DB00009,NA
Sermorelin,DB00010,NA
Interferon alfa-n1,DB00011,NA
Darbepoetin alfa,DB00012,NA
Urokinase,DB00013,NA
Goserelin,DB00014,CHEMBL1201247
Reteplase,DB00015,NA
Erythropoietin,DB00016,NA
Salmon Calcitonin,DB00017,NA
Interferon alfa-n3,DB00018,NA
Pegfilgrastim,DB00019,NA
Sargramostim,DB00020,NA
Secretin,DB00021,NA
Peginterferon alfa-2b,DB00022,NA
Asparaginase Escherichia coli,DB00023,NA
Thyrotropin Alfa,DB00024,NA
"Antihemophilic factor, human recombinant",DB00025,NA
Anakinra,DB00026,NA
Gramicidin D,DB00027,CHEMBL557217
Immune Globulin Human,DB00028,NA
Anistreplase,DB00029,NA
Insulin Human,DB00030,NA
Tenecteplase,DB00031,NA
Menotropins,DB00032,NA
Interferon gamma-1b,DB00033,NA
"Interferon Alfa-2a, Recombinant",DB00034,NA
Desmopressin,DB00035,CHEMBL376685
Coagulation factor VIIa Recombinant Human,DB00036,NA
Oprelvekin,DB00038,NA
Palifermin,DB00039,NA
Glucagon recombinant,DB00040,NA
Aldesleukin,DB00041,NA
Botulinum Toxin Type B,DB00042,NA
Omalizumab,DB00043,NA
Lutropin alfa,DB00044,NA
Lyme disease vaccine (recombinant OspA),DB00045,NA
Insulin Lispro,DB00046,NA
Insulin Glargine,DB00047,NA
Collagenase clostridium histolyticum,DB00048,NA
Rasburicase,DB00049,NA
Cetrorelix,DB00050,CHEMBL1200490
Adalimumab,DB00051,NA
Somatotropin,DB00052,NA
Imiglucerase,DB00053,NA
Abciximab,DB00054,NA
Drotrecogin alfa,DB00055,NA
Gemtuzumab ozogamicin,DB00056,NA
Indium In-111 satumomab pendetide,DB00057,NA
Alpha-1-proteinase inhibitor,DB00058,NA
Pegaspargase,DB00059,NA
Interferon beta-1a,DB00060,NA
Pegademase bovine,DB00061,NA
Human Serum Albumin,DB00062,NA
Eptifibatide,DB00063,NA
Infliximab,DB00065,NA
Follitropin,DB00066,NA
Vasopressin,DB00067,NA
Interferon beta-1b,DB00068,NA
Interferon alfacon-1,DB00069,NA
Hyaluronidase,DB00070,NA
Insulin Pork,DB00071,NA
Trastuzumab,DB00072,NA
Rituximab,DB00073,NA
Basiliximab,DB00074,NA
Muromonab,DB00075,NA
Digoxin Immune Fab (Ovine),DB00076,NA
Ibritumomab tiuxetan,DB00078,NA
Daptomycin,DB00080,CHEMBL387675
Tositumomab,DB00081,NA
Pegvisomant,DB00082,NA
Botulinum Toxin Type A,DB00083,NA
Pancrelipase,DB00085,NA
Streptokinase,DB00086,NA
Alemtuzumab,DB00087,NA
Alglucerase,DB00088,NA
Capromab pendetide,DB00089,NA
Laronidase,DB00090,NA
Cyclosporine,DB00091,CHEMBL160
Alefacept,DB00092,NA
Felypressin,DB00093,CHEMBL3185126
Urofollitropin,DB00094,NA
Efalizumab,DB00095,NA
Choriogonadotropin alfa,DB00097,NA
Antithymocyte immunoglobulin (rabbit),DB00098,NA
Filgrastim,DB00099,NA
Coagulation Factor IX (Recombinant),DB00100,NA
Becaplermin,DB00102,NA
Agalsidase beta,DB00103,NA
Octreotide,DB00104,CHEMBL1680
"Interferon Alfa-2b, Recombinant",DB00105,NA
Abarelix,DB00106,CHEMBL1252
Oxytocin,DB00107,NA
Natalizumab,DB00108,NA
Enfuvirtide,DB00109,NA
Palivizumab,DB00110,NA
Daclizumab,DB00111,NA
Bevacizumab,DB00112,NA
Technetium Tc-99m arcitumomab,DB00113,NA
Pyridoxal Phosphate,DB00114,CHEMBL82202
Cyanocobalamin,DB00115,NA
Tetrahydrofolic acid,DB00116,CHEMBL2021342
Histidine,DB00117,CHEMBL17962
Ademetionine,DB00118,CHEMBL1088977
Pyruvic acid,DB00119,CHEMBL1162144
L-Phenylalanine,DB00120,CHEMBL301523
Biotin,DB00121,CHEMBL857
Choline,DB00122,CHEMBL920
L-Lysine,DB00123,CHEMBL8085
L-Arginine,DB00125,CHEMBL1485
Vitamin C,DB00126,CHEMBL196
Spermine,DB00127,CHEMBL23194
L-Aspartic Acid,DB00128,CHEMBL274323
Ornithine,DB00129,CHEMBL446143
L-Glutamine,DB00130,CHEMBL930
Adenosine monophosphate,DB00131,CHEMBL752
Alpha-Linolenic Acid,DB00132,CHEMBL8739
Serine,DB00133,CHEMBL11298
Methionine,DB00134,CHEMBL42336
L-Tyrosine,DB00135,CHEMBL925
Calcitriol,DB00136,CHEMBL846
Lutein,DB00137,CHEMBL173929
Cystine,DB00138,CHEMBL590540
Succinic acid,DB00139,CHEMBL576
Riboflavin,DB00140,CHEMBL1534
N-Acetylglucosamine,DB00141,NA
Glutamic Acid,DB00142,CHEMBL575060
Glutathione,DB00143,CHEMBL1543
Phosphatidyl serine,DB00144,NA
Glycine,DB00145,CHEMBL773
Calcidiol,DB00146,CHEMBL1040
