name,drugbank_id,fam
Agomelatine,DB06594,Antidepressant
Amisulpride,DB06288,Antipsychotic
Amitriptyline,DB00321,Antidepressant
Amphetamine,DB00182,Stimulant
Aripiprazole,DB01238,Antipsychotic
Asenapine,DB06216,Antipsychotic
Atomoxetine,DB00289,Antidepressant
Bromazepam,DB01558,Depressants
Buprenorphine,DB00921,Opioid
Bupropion,DB01156,Antidepressant
Buspirone,DB00490,Antidepressant
Cabergoline,DB00248,Other
Carbamazepine,DB00564,Mood stabilizer
Cariprazine,DB06016,Antipsychotic
Chlorpromazine,DB00477,Antipsychotic
Citalopram,DB00215,Antidepressant
Clomipramine,DB01242,Antidepressant
Clonazepam,DB01068,Depressants
Clonidine,DB00575,Depressants
Clotiazepam,DB01559,Depressants
Clozapine,DB00363,Antipsychotic
Desipramine,DB01151,Antidepressant
Desvenlafaxine,DB06700,Antidepressant
Dextroamphetamine,DB01576,Stimulant
Diazepam,DB00829,Depressants
Duloxetine,DB00476,Antidepressant
Escitalopram,DB01175,Antidepressant
Estazolam,DB01215,Depressants
Ethanol,DB00898,Depressants
Fludiazepam,DB01567,Depressants
Flunitrazepam,DB01544,Depressants
Fluoxetine,DB00472,Antidepressant
Flupentixol,DB00875,Antipsychotic
Fluphenazine,DB00623,Antipsychotic
Gabapentin,DB00996,Mood stabilizer
Haloperidol,DB00502,Antipsychotic
Imipramine,DB00458,Antidepressant
Lamotrigine,DB00555,Mood stabilizer
Lisuride,DB00589,Antipsychotic
Lithium,DB01356,Mood stabilizer
Lorazepam,DB00186,Depressants
Lormetazepam,DB13872,Depressants
Lurasidone,DB08815,Antipsychotic
Melatonin,DB01065,Other
Methadone,DB00333,Opioid
Methamphetamine,DB01577,Stimulant
Mianserin,DB06148,Antidepressant
Mirtazapine,DB00370,Antidepressant
Morphine,DB00295,Depressants
Nalmefene,DB06230,Opioid
Naloxone,DB01183,Opioid
Naltrexone,DB00704,Opioid
Nitrazepam,DB01595,Depressants
Nortriptyline,DB00540,Antidepressant
Olanzapine,DB00334,Antipsychotic
Oxazepam,DB00842,Depressants
Oxcarbazepine,DB00776,Mood stabilizer
Oxycodone,DB00497,Opioid
Paliperidone,DB01267,Antipsychotic
Paroxetine,DB00715,Antidepressant
Pergolide,DB01186,Other
Perphenazine,DB00850,Antipsychotic
Phenelzine,DB00780,Antidepressant
Pindolol,DB00960,Antidepressant
Pramipexole,DB00413,Other
Promazine,DB00420,Antipsychotic
Quetiapine,DB01224,Antipsychotic
Reboxetine,DB00234,Antidepressant
Risperidone,DB00734,Antipsychotic
Sertindole,DB06144,Antipsychotic
Sertraline,DB01104,Antidepressant
Sulpiride,DB00391,Antipsychotic
Temazepam,DB00231,Depressants
Trazodone,DB00656,Antidepressant
Triazolam,DB00897,Depressants
Valproic Acid,DB00313,Mood stabilizer
Varenicline,DB01273,Other
Venlafaxine,DB00285,Antidepressant
Vortioxetine,DB09068,Antidepressant
Ziprasidone,DB00246,Antipsychotic
Zuclopenthixol,DB01624,Antipsychotic
