Name,Actions,Gene Name,General Function,Kind,Molecular Weight,Organism,Pharmacological action,Specific Function,Uniprot ID,Uniprot Name,Drug,drugbank_id,Curator comments
Cytochrome P450 1A2,Substrate,CYP1A2,"Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",Protein,58293.76 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P05177,Cytochrome P450 1A2,Agomelatine,DB06594,NA
Cytochrome P450 2C9,Inhibitor,CYP2C9,Steroid hydroxylase activity,Protein,55627.365 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P11712,Cytochrome P450 2C9,Agomelatine,DB06594,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amisulpride,DB06288,NA
Cytochrome P450 2D6,SubstrateInhibitor,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,Unknown,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Amitriptyline,DB00321,NA
Cytochrome P450 1A2,Substrate,CYP1A2,"Oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",Protein,58293.76 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P05177,Cytochrome P450 1A2,Amitriptyline,DB00321,NA
Cytochrome P450 2C19,SubstrateInhibitor,CYP2C19,Steroid hydroxylase activity,Protein,55930.545 Da,Humans,Unknown,"Responsible for the metabolism of a number of therapeutic agents such as the anticonvulsant drug S-mephenytoin, omeprazole, proguanil, certain barbiturates, diazepam, propranolol, citalopram and im...",P33261,Cytochrome P450 2C19,Amitriptyline,DB00321,NA
Cytochrome P450 2C9,Substrate,CYP2C9,Steroid hydroxylase activity,Protein,55627.365 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P11712,Cytochrome P450 2C9,Amitriptyline,DB00321,NA
Cytochrome P450 3A4,Substrate,CYP3A4,Vitamin d3 25-hydroxylase activity,Protein,57342.67 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It performs a variety of oxidation react...",P08684,Cytochrome P450 3A4,Amitriptyline,DB00321,NA
Cytochrome P450 3A5,Substrate,CYP3A5,Oxygen binding,Protein,57108.065 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P20815,Cytochrome P450 3A5,Amitriptyline,DB00321,Data based on in vitro studies. There are limited data in the literature regarding this enzyme action.
Cytochrome P450 2B6,Substrate,CYP2B6,Steroid hydroxylase activity,Protein,56277.81 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P20813,Cytochrome P450 2B6,Amitriptyline,DB00321,NA
Cytochrome P450 2C8,SubstrateInhibitor,CYP2C8,Steroid hydroxylase activity,Protein,55824.275 Da,Humans,Unknown,"Cytochromes P450 are a group of heme-thiolate monooxygenases. In liver microsomes, this enzyme is involved in an NADPH-dependent electron transport pathway. It oxidizes a variety of structurally un...",P10632,Cytochrome P450 2C8,Amitriptyline,DB00321,NA
UDP-glucuronosyltransferase 1-1,SubstrateInhibitor,UGT1A1,Steroid binding,Protein,59590.91 Da,Humans,No,UDPGT is of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. This isoform glucuronidates bilirubin IX-alpha to form both the...,P22309,UDP-glucuronosyltransferase 1-1,Amitriptyline,DB00321,NA
Cytochrome P450 2D6,Substrate,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,Unknown,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Amphetamine,DB00182,NA
Cytochrome P450 2A6,Inhibitor,CYP2A6,Steroid hydroxylase activity,Protein,56501.005 Da,Humans,Unknown,Exhibits a high coumarin 7-hydroxylase activity. Can act in the hydroxylation of the anti-cancer drugs cyclophosphamide and ifosphamide. Competent in the metabolic activation of aflatoxin B1. Const...,P11509,Cytochrome P450 2A6,Amphetamine,DB00182,NA
Cytochrome P450 2D6,Substrate,CYP2D6,Steroid hydroxylase activity,Protein,55768.94 Da,Humans,Unknown,"Responsible for the metabolism of many drugs and environmental chemicals that it oxidizes. It is involved in the metabolism of drugs such as antiarrhythmics, adrenoceptor antagonists, and tricyclic...",P10635,Cytochrome P450 2D6,Aripiprazole,DB01238,NA
